Korpus;Frequency;Presentase Kemunculan;
d;21510;0,049396901;
pesawat;21474;0,049314228;
jenis;21457;0,049275188;
islam;21374;0,049084582;
melakukan;21295;0,048903161;
sebagian;21230;0,048753891;
terdiri;21123;0,04850817;
pemerintah;21111;0,048480612;
karya;21039;0,048315267;
seluruh;20766;0,047688333;
eropa;20739;0,047626328;
to;20611;0,047332381;
hidup;20578;0,047256598;
diri;20467;0,047001691;
oktober;20415;0,046882275;
desember;20357;0,04674908;
bernama;20314;0,046650332;
mei;20244;0,04648958;
republik;20221;0,046436761;
hasil;20198;0,046383942;
bentuk;20133;0,046234672;
program;20111;0,04618415;
maret;20099;0,046156593;
tak;20079;0,046110663;
raya;20025;0,045986655;
akhir;19866;0,045621517;
april;19855;0,045596256;
september;19843;0,045568698;
luas;19778;0,045419428;
lalu;19615;0,045045105;
grup;19605;0,04502214;
agustus;19594;0,044996879;
kepala;19468;0,044707525;
kelurahan;19440;0,044643224;
kapal;19365;0,04447099;
juli;19361;0,044461804;
pemerintahan;19357;0,044452618;
berhasil;19281;0,044278087;
berasal;19265;0,044241343;
januari;19263;0,04423675;
piala;19255;0,044218379;
bermain;19164;0,044009401;
sering;19103;0,043869316;
dilakukan;19049;0,043745307;
b;18850;0,043288311;
juni;18839;0,04326305;
masing;18819;0,043217121;
buku;18746;0,043049479;
sementara;18745;0,043047183;
keluarga;18741;0,043037997;
mempunyai;18656;0,042842798;
november;18598;0,042709603;
kelompok;18474;0,042424842;
partai;18457;0,042385802;
klub;18391;0,042234235;
ilmu;18366;0,042176824;
pasukan;18111;0,041591226;
distrik;17854;0,041001035;
agama;17777;0,040824208;
korea;17706;0,040661159;
italia;17702;0,040651973;
bidang;17563;0,040332765;
bangsa;17545;0,040291428;
terkenal;17462;0,040100822;
api;17404;0,039967627;
sebelumnya;17343;0,039827543;
acara;17322;0,039779317;
biasanya;17053;0,039161569;
catatan;17032;0,039113343;
sumatera;17023;0,039092675;
lama;16955;0,038936516;
as;16876;0,038755095;
berdasarkan;16851;0,038697684;
la;16655;0,038247577;
lahir;16633;0,038197055;
for;16602;0,038125865;
asal;16583;0,038082232;
jika;16493;0,03787555;
kereta;16489;0,037866364;
gunung;16303;0,037439222;
asia;16294;0,037418554;
versi;16251;0,037319806;
suara;16233;0,03727847;
km;16220;0,037248616;
sumber;16135;0,037053417;
dirilis;16039;0,036832956;
enam;15940;0,036605607;
hukum;15934;0,036591828;
juara;15926;0,036573456;
memberikan;15903;0,036520638;
pun;15865;0,036433372;
posisi;15824;0,036339217;
putra;15757;0,036185354;
masuk;15632;0,035898296;
ibu;15619;0,035868442;
februari;15573;0,035762805;
kaki;15537;0,035680132;
sedangkan;15517;0,035634203;
tetap;15500;0,035595163;
politik;15479;0,035546938;
h;15476;0,035540048;
ekonomi;15295;0,035124389;
svg;15269;0,035064681;
rakyat;15262;0,035048605;
televisi;15260;0,035044012;
sedang;15233;0,034982008;
tanpa;15188;0,034878667;
penyanyi;15156;0,03480518;
sebesar;15130;0,034745472;
kalimantan;14981;0,034403299;
berbeda;14933;0,034293069;
proses;14895;0,034205804;
sm;14856;0,034116242;
sebelah;14766;0,03390956;
resmi;14763;0,033902671;
on;14743;0,033856741;
bahan;14696;0,033748808;
john;14680;0,033712064;
dimana;14652;0,033647763;
didirikan;14570;0,033459454;
militer;14510;0,033321666;
video;14403;0,033075944;
saja;14359;0,0329749;
cara;14348;0,032949639;
mana;14335;0,032919785;
penerbangan;14166;0,032531683;
meskipun;14131;0,032451307;
organisasi;14115;0,032414563;
india;14101;0,032382413;
mengenai;14088;0,032352559;
maupun;14054;0,032274479;
tapi;14050;0,032265293;
cina;14042;0,032246921;
tingkat;14026;0,032210178;
allah;13966;0,03207239;
australia;13963;0,032065501;
kepulauan;13929;0,031987421;
episode;13921;0,03196905;
empat;13914;0,031952974;
berikut;13912;0,031948381;
zaman;13897;0,031913934;
city;13878;0,031870302;
mesin;13865;0,031840448;
dibuat;13792;0,031672806;
world;13786;0,031659027;
terbaik;13675;0,03140412;
jalur;13672;0,03139723;
yunani;13663;0,031376562;
bandung;13637;0,031316854;
terakhir;13606;0,031245664;
bumi;13515;0,031036686;
berarti;13513;0,031032093;
wanita;13513;0,031032093;
liga;13473;0,030940235;
biasa;13463;0,03091727;
agar;13457;0,030903491;
l;13437;0,030857562;
penghargaan;13433;0,030848376;
panjang;13430;0,030841487;
pelajaran;13383;0,030733553;
cinta;13350;0,03065777;
serial;13333;0,03061873;
ketiga;13332;0,030616433;
e;13233;0,030389084;
bekerja;13217;0,03035234;
mata;13215;0,030347747;
alabama;13178;0,030262778;
saint;13162;0,030226035;
x;13151;0,030200774;
band;13127;0,030145659;
langsung;13080;0,030037725;
vi;13072;0,030019353;
gelar;13016;0,029890751;
britania;12991;0,02983334;
pertempuran;12991;0,02983334;
tenggara;12952;0,029743778;
muncul;12948;0,029734592;
